bar_code,Family,Genus,species,X,Y,value,variable_id
P891601,Lecythidaceae,Eschweilera,coriacea,74,92,98.60575644334908,9
P891601,Lecythidaceae,Eschweilera,coriacea,74,92,58.379586180367106,10
P891601,Lecythidaceae,Eschweilera,coriacea,74,92,9.174891212350365,11
P378103,Lecythidaceae,Eschweilera,coriacea,40,2,27.61187773857873,1
P378103,Lecythidaceae,Eschweilera,coriacea,40,2,222.49058269893897,2
P378103,Lecythidaceae,Eschweilera,coriacea,40,2,1.8412306236315494,3
P378103,Lecythidaceae,Eschweilera,coriacea,40,2,73.8677107011974,9
P378103,Lecythidaceae,Eschweilera,coriacea,40,2,60.829765356661035,10
P378103,Lecythidaceae,Eschweilera,coriacea,40,2,9.131870268005406,11
P436971,Lecythidaceae,Eschweilera,coriacea,29,2,10.972926243205135,1
P436971,Lecythidaceae,Eschweilera,coriacea,29,2,227.0225318480614,2
P436971,Lecythidaceae,Eschweilera,coriacea,29,2,2.2538880207907734,3
P436971,Lecythidaceae,Eschweilera,coriacea,29,2,75.18856886547405,9
P436971,Lecythidaceae,Eschweilera,coriacea,29,2,69.28317320007845,10
P436971,Lecythidaceae,Eschweilera,coriacea,29,2,8.305019126753933,11
P874690,Lecythidaceae,Eschweilera,coriacea,25,55,48.33833010883121,1
P874690,Lecythidaceae,Eschweilera,coriacea,25,55,210.83099171019677,2
P874690,Lecythidaceae,Eschweilera,coriacea,25,55,1.605047020673837,3
P874690,Lecythidaceae,Eschweilera,coriacea,25,55,74.78149890755766,9
P874690,Lecythidaceae,Eschweilera,coriacea,25,55,48.1557568574197,10
P874690,Lecythidaceae,Eschweilera,coriacea,25,55,10.005523839258831,11
P492103,Lecythidaceae,Eschweilera,coriacea,80,16,9.201624981589076,1
P492103,Lecythidaceae,Eschweilera,coriacea,80,16,184.80096778916965,2
P492103,Lecythidaceae,Eschweilera,coriacea,80,16,1.5191006526766555,3
P492103,Lecythidaceae,Eschweilera,coriacea,80,16,82.24984703869306,9
P492103,Lecythidaceae,Eschweilera,coriacea,80,16,67.15172492293354,10
P492103,Lecythidaceae,Eschweilera,coriacea,80,16,13.086145839386152,11
P210710,Lecythidaceae,Eschweilera,coriacea,31,41,44.60274403467371,1
P210710,Lecythidaceae,Eschweilera,coriacea,31,41,217.46897330986502,2
P210710,Lecythidaceae,Eschweilera,coriacea,31,41,1.5833479542261153,3
P210710,Lecythidaceae,Eschweilera,coriacea,31,41,85.32390050274715,9
P210710,Lecythidaceae,Eschweilera,coriacea,31,41,65.87789384883834,10
P210710,Lecythidaceae,Eschweilera,coriacea,31,41,8.667690311801596,11
P973571,Lecythidaceae,Eschweilera,coriacea,100,76,12.746090942389781,1
P973571,Lecythidaceae,Eschweilera,coriacea,100,76,189.87307491460166,2
P973571,Lecythidaceae,Eschweilera,coriacea,100,76,1.8610561830633838,3
P973571,Lecythidaceae,Eschweilera,coriacea,100,76,77.00227483517247,9
P973571,Lecythidaceae,Eschweilera,coriacea,100,76,127.13966156985512,10
P973571,Lecythidaceae,Eschweilera,coriacea,100,76,10.690617499439714,11
P405708,Lecythidaceae,Eschweilera,coriacea,60,53,17.740073948739788,1
P405708,Lecythidaceae,Eschweilera,coriacea,60,53,253.32859782445863,2
P405708,Lecythidaceae,Eschweilera,coriacea,60,53,2.2801943418084547,3
P405708,Lecythidaceae,Eschweilera,coriacea,60,53,92.78318743616722,9
P405708,Lecythidaceae,Eschweilera,coriacea,60,53,118.15192629433945,10
P405708,Lecythidaceae,Eschweilera,coriacea,60,53,8.856503571994125,11
P104333,Lecythidaceae,Eschweilera,coriacea,60,94,32.01242867918704,1
P104333,Lecythidaceae,Eschweilera,coriacea,60,94,235.05389570260286,2
P104333,Lecythidaceae,Eschweilera,coriacea,60,94,2.2319677218478384,3
P104333,Lecythidaceae,Eschweilera,coriacea,60,94,78.80118119941407,9
P104333,Lecythidaceae,Eschweilera,coriacea,60,94,119.78611365072601,10
P104333,Lecythidaceae,Eschweilera,coriacea,60,94,8.198403688361902,11
P648652,Lecythidaceae,Eschweilera,coriacea,46,30.5,24.94214619208297,1
P648652,Lecythidaceae,Eschweilera,coriacea,46,30.5,199.33346790792234,2
P648652,Lecythidaceae,Eschweilera,coriacea,46,30.5,2.1396848092832075,3
P648652,Lecythidaceae,Eschweilera,coriacea,46,30.5,87.86008405938445,9
P648652,Lecythidaceae,Eschweilera,coriacea,46,30.5,101.9243424222557,10
P648652,Lecythidaceae,Eschweilera,coriacea,46,30.5,8.135380012489303,11
P565499,Lecythidaceae,Eschweilera,coriacea,78,75,19.087779993120186,1
P565499,Lecythidaceae,Eschweilera,coriacea,78,75,200.354332720722,2
P565499,Lecythidaceae,Eschweilera,coriacea,78,75,1.6264110127341989,3
P565499,Lecythidaceae,Eschweilera,coriacea,78,75,68.78613053682535,9
P565499,Lecythidaceae,Eschweilera,coriacea,78,75,83.0947341261819,10
P565499,Lecythidaceae,Eschweilera,coriacea,78,75,12.200652751522995,11
P776585,Lecythidaceae,Eschweilera,coriacea,30,37,32.05130744972681,1
P776585,Lecythidaceae,Eschweilera,coriacea,30,37,201.72734377655385,2
P776585,Lecythidaceae,Eschweilera,coriacea,30,37,2.1264400226847298,3
P776585,Lecythidaceae,Eschweilera,coriacea,30,37,69.89336254889851,9
P776585,Lecythidaceae,Eschweilera,coriacea,30,37,70.35730880465675,10
P776585,Lecythidaceae,Eschweilera,coriacea,30,37,10.55978971739477,11
P228472,Lecythidaceae,Eschweilera,coriacea,59,88,32.371127942047764,1
P228472,Lecythidaceae,Eschweilera,coriacea,59,88,242.42688060001498,2
P228472,Lecythidaceae,Eschweilera,coriacea,59,88,2.113734626337039,3
P228472,Lecythidaceae,Eschweilera,coriacea,59,88,69.48096887904816,9
P228472,Lecythidaceae,Eschweilera,coriacea,59,88,57.737382682592965,10
